location,stringency_index,population_density,median_age,aged_65_and_older,aged_70_and_older,gdp_per_capita,extreme_poverty,cardiovascular_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Eswatini,69.65041666666659,79.4919999999994,21.5,3.163000000000009,1.8450000000000162,7738.975000000052,,333.4360000000013,3.9400000000000346,24.096999999999912,2.1000000000000134,60.189999999999806,0.6109999999999967
Ethiopia,64.79354570637095,104.95699999999977,19.800000000000118,3.5259999999999976,2.062999999999991,1729.9270000000135,26.700000000000006,182.63399999999874,7.469999999999969,7.9600000000000275,0.29999999999999816,66.59999999999971,0.4850000000000034
Europe,,,,,,,,,,,,,
European Union,,,,,,,,,,,,,
Faeroe Islands,44.730769230769226,35.308,,,,,,,,,,80.67000000000004,
Falkland Islands,,,,,,,,,,,,81.44000000000003,
Fiji,53.127797029702506,49.562000000000246,28.60000000000021,6.224000000000011,3.2840000000000193,8702.97500000006,1.3999999999999893,412.82000000000414,14.48999999999986,,2.299999999999984,67.43999999999957,0.7429999999999962
Finland,42.54952736318392,18.136000000000173,42.79999999999968,21.228000000000005,13.26400000000006,40585.72100000037,,153.50699999999927,5.76000000000002,,3.2799999999999785,81.90999999999994,0.9379999999999928
France,59.383463414634114,122.57800000000086,42.0,19.717999999999893,13.078999999999988,38605.67100000008,,86.06000000000036,4.769999999999985,,5.980000000000016,82.66000000000001,0.9010000000000065
Gabon,68.049138888889,7.8589999999999565,23.100000000000154,4.450000000000029,2.976000000000005,16562.41299999996,3.4000000000000017,259.9670000000003,7.199999999999987,,6.29999999999999,66.47000000000018,0.7030000000000025
Gambia,61.04697142857125,207.5660000000001,17.5,2.339000000000021,1.4169999999999874,1561.766999999995,10.09999999999994,331.429999999997,1.9100000000000001,7.876000000000041,1.1000000000000054,62.049999999999585,0.49600000000000116
Georgia,70.53316489361707,65.03199999999953,38.70000000000025,14.863999999999905,10.244000000000051,9745.078999999942,4.200000000000028,496.21799999999604,7.109999999999997,,2.6000000000000156,73.77000000000037,0.8120000000000062
Germany,60.21770935960619,237.01600000000204,46.600000000000016,21.453000000000156,15.957000000000104,45229.24499999977,,156.13900000000112,8.309999999999954,,8.0,81.33000000000085,0.9470000000000024
Ghana,49.34324022346357,126.71899999999944,21.100000000000136,3.3849999999999922,1.9479999999999875,4227.629999999968,12.0,298.24499999999887,4.970000000000023,41.047000000000104,0.8999999999999984,64.06999999999977,0.6109999999999967
Gibraltar,,3457.1000000000035,,,,,,,,,,79.92999999999998,
Greece,65.21508021390368,83.47899999999954,45.29999999999968,20.395999999999912,14.52400000000003,24574.382000000063,1.5,175.6949999999999,4.5499999999999705,,4.210000000000021,82.24000000000066,0.8879999999999971
Greenland,40.304705882352934,0.13699999999999993,,,,,,199.9409999999999,2.1599999999999984,,,71.69999999999999,
Grenada,,317.1319999999986,29.399999999999807,7.304000000000045,5.0209999999999715,13593.876999999999,,243.9640000000017,10.71000000000003,,3.700000000000024,72.40000000000036,0.7789999999999977
Guatemala,69.35358839050167,157.834000000001,22.89999999999983,4.693999999999973,3.015999999999997,7423.808000000033,8.699999999999948,155.89800000000068,10.179999999999932,76.66500000000062,0.5999999999999961,74.29999999999951,0.6630000000000041
Guernsey,,,,,,,,,,,,,
Guinea,58.890803324099664,51.754999999999825,19.0,3.1349999999999922,1.732999999999993,1998.9259999999877,35.29999999999982,336.71700000000124,2.419999999999986,17.44999999999989,0.29999999999999816,61.599999999999795,0.4770000000000018
